"Buckets","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
8256,71971,151635,162141,118105,120685,129419,152601,155582,177601,73862,90652,90214,235433,112908,25287,2787,7919,250,50,204,900
8268.8,75642,151541,162340,122183,121713,131857,154508,158302,180307,74576,95524,90429,241093,117554,26183,2482,7541,281,46,180,979
8281.6,78051,151082,160092,123945,123214,134590,154503,159741,181967,78180,100271,89899,246863,121235,30068,2135,7203,234,47,186,962
8294.4,80438,147791,157403,124065,125606,133738,154208,159161,179155,82030,102385,85112,250404,123834,33643,1836,6899,188,33,173,944
8307.2,81338,145026,154003,122294,123910,130378,151284,157387,173907,84814,103751,79029,252958,123847,35744,1787,6563,169,31,158,1001
8320,80161,143640,150963,122068,120793,128394,150133,157395,170102,85768,104099,70690,254011,123496,34600,1537,6221,138,33,139,1015
8332.8,77266,140553,147079,121273,118601,128841,148865,156363,168968,86796,103593,60636,252881,122657,31366,1387,6110,123,33,119,1038
8345.6,73728,138360,144487,119134,117059,128755,146883,155155,167206,86217,101338,51720,246772,120206,28053,1198,5684,114,25,94,967
8358.4,69583,135117,141185,114929,116838,127398,144579,152983,164235,84394,97491,44984,238831,117766,24723,924,5585,102,32,85,933
8371.2,65411,132161,137094,108776,114891,125317,140523,151461,159499,80265,92622,40951,227549,114597,22330,686,5228,134,28,96,982
8384,60650,126247,132717,101252,112119,121861,136012,149303,154907,75502,87238,38282,217066,109568,19555,580,5051,183,26,155,995
8396.8,56018,119433,125533,91509,106744,117452,127589,145094,148209,70525,80448,35569,205921,102468,17218,466,4843,219,21,172,990
8409.6,51506,111299,117750,82803,101520,110083,119137,139248,138636,66156,73603,32443,194522,94484,14938,399,4733,213,34,169,988
8422.4,47936,102418,109322,74451,95138,101301,110127,130707,127845,61016,66769,29168,185626,86864,13353,350,4638,188,21,162,984
8435.2,44814,95490,101646,68911,87266,93819,101210,121296,118522,55895,60927,26031,176774,80083,11993,293,4755,155,29,135,1029
8448,42521,88845,95330,64022,80805,87397,94993,113233,109945,51918,56096,23714,168453,75293,11228,316,4726,135,17,141,1003
8460.8,40305,82676,89173,59615,75189,81820,87792,105723,104656,48469,52408,21630,161447,69936,10989,264,4701,121,23,100,1000
8473.6,37236,76246,81418,54847,70762,76040,82196,98693,97355,45275,49479,19447,155063,65977,10468,242,4668,99,23,91,1024
8486.4,34863,70022,74910,50502,66625,70710,75484,91986,90045,42204,45150,17305,149032,61709,9861,203,4294,110,28,81,1009
8499.2,32093,63933,68480,45997,61144,65535,68719,84930,83418,39419,42018,14929,143589,57885,9092,177,3785,104,28,85,1046
8512,29557,57288,61039,41657,55787,60777,61483,78321,76471,36226,38460,12307,136363,53984,8158,158,3671,122,19,103,1054
8524.8,26879,51451,53166,37147,50748,55188,54291,70656,67955,33557,35051,9627,130205,49658,7159,176,3546,118,20,108,1032
8537.6,23292,44216,46857,31988,45896,49446,47639,62628,59616,29325,31406,7366,125160,44922,5568,148,3525,107,19,112,987
8550.4,20021,38348,40589,27353,40402,43245,40611,54725,50749,25494,27904,5583,118900,38761,4673,122,3329,125,21,101,1068
8563.2,16656,33653,34772,23579,34914,37238,34856,47820,42883,21908,24347,4215,114044,32986,3752,103,3265,96,18,98,1027
8576,14559,29386,30446,20535,29769,32287,29997,41207,36126,18879,21507,3327,108164,28014,3318,86,3224,92,15,81,1080
8588.8,13230,26955,28605,18861,25350,27816,27312,35359,30438,16184,18933,2870,101856,24289,3440,88,3111,98,16,79,1054
8601.6,13018,26991,28819,19602,22343,25831,27023,31099,28513,14906,17571,3189,96042,23216,4306,104,2935,92,19,105,1088
8614.4,14414,27612,30625,21265,20924,25941,28334,29680,29941,15159,17946,3569,91100,24458,6126,113,2789,105,17,84,1052
8627.2,16474,29544,31964,23031,21918,27987,30563,30067,32379,16627,18886,4039,87300,27240,8109,188,2505,89,14,92,1055
8640,18032,30945,33618,24207,23642,29579,31765,31253,35043,18778,19737,4194,84445,29587,9142,147,2300,87,16,97,1047
8652.8,18428,32116,34504,25431,25739,30930,33226,32987,36577,19816,20936,3777,83227,31085,8677,155,2184,69,15,105,1100
8665.6,18590,34320,35809,26682,26664,32750,34806,34516,37747,20315,21927,3308,81698,31349,7111,115,2189,61,16,91,1112
8678.4,20212,36213,38191,28924,27581,35106,37519,36487,39980,20649,23404,2753,80384,32263,5571,128,2051,52,15,60,1050
8691.2,22399,38038,39612,30778,28723,37809,39773,38299,42743,21555,24802,2366,79553,34928,5276,91,2031,38,16,62,1082
8704,24504,39208,41230,32283,30703,40326,41667,41103,45312,23254,26319,2172,79493,37647,5951,87,1752,53,11,45,1062
8716.8,26100,39747,41567,32773,32652,41419,42595,42692,47111,25337,27094,2312,80704,40708,7984,102,1530,37,14,56,1074
8729.6,26512,39802,41596,32140,33569,41493,42238,43888,46541,27054,28186,2210,82507,41811,9675,141,1430,53,16,54,1060
8742.4,26520,40176,41898,32771,33531,41398,42117,44015,45310,27388,28213,2157,84463,41404,9738,128,1301,44,14,53,1042
8755.2,26948,40983,43199,34730,33365,41340,43759,44083,45101,27220,28352,2040,85717,41530,8340,127,1147,40,12,42,1005
8768,28718,42783,44722,37293,33402,43945,45506,45106,47402,27483,29521,1844,86232,43170,7589,113,1171,29,12,49,1176
8780.8,31123,43580,46169,38259,35949,46287,48086,46672,50926,28947,30811,1846,86048,44932,7246,102,1030,30,11,39,1040
8793.6,32110,43935,45902,37606,37932,47701,48458,48525,53011,31309,31607,1864,85899,47665,7374,92,1048,23,10,40,969
8806.4,32379,43353,45652,36695,39143,47883,48525,49544,53712,32508,31552,2115,85804,47959,7077,76,956,32,13,61,981
8819.2,32624,42795,44659,35522,38370,47225,47378,49827,53076,32961,30884,2120,85052,47807,6364,82,1012,37,7,60,1024
8832,32085,41748,43762,34640,37588,46534,46120,49646,52607,32504,30084,2198,84548,46568,5423,43,1042,36,23,48,1011
8844.8,31035,40765,42538,33119,35972,45445,45395,48614,51484,32204,29158,2205,83173,44346,4633,55,1082,35,14,58,1059
8857.6,31019,39013,41006,31894,35006,43758,44398,47801,50130,31102,28188,2170,80616,42356,3842,44,1116,28,13,49,1103
8870.4,30136,37230,39102,30574,33719,42154,42180,46260,48739,30337,27801,2281,78794,40619,3494,42,1096,21,18,45,1063
8883.2,28356,35329,36814,28366,32664,40097,40772,45143,46179,29309,27252,2243,76023,38568,3178,28,1014,19,12,35,1062
8896,26341,33066,34291,26396,30867,37365,38166,43403,44043,27992,26349,2263,73075,35951,2684,27,964,18,14,43,1027
8908.8,24191,30896,31990,24352,28957,34811,35349,40532,41089,26152,25442,2185,70214,33299,2258,24,875,19,10,33,962
8921.6,22153,29105,30428,22933,27058,32048,33592,38140,37752,24324,23978,2285,67359,30251,1819,17,782,29,7,39,964
8934.4,20678,27778,28557,22357,25260,30364,31968,35779,35766,22380,22967,2319,64696,28063,1562,15,843,18,12,43,975
8947.2,19702,26812,27749,22144,23811,29071,31007,34473,34246,21041,22682,2269,62755,27054,1403,14,856,19,15,32,964
8960,18900,25716,26207,21254,23180,28162,29977,32970,32728,19701,22052,2275,60087,26280,1343,13,942,19,10,40,969
8972.8,17431,24509,24830,20300,22629,26849,28529,31606,31450,18823,21448,2013,58648,25081,1236,9,867,25,11,34,960
8985.6,16213,23279,23942,19365,22070,25781,27338,30179,30252,17683,20045,1926,56794,23791,1194,11,838,26,10,34,1007
8998.4,14484,21814,22209,18266,20832,24445,25360,28736,28280,16272,19247,1695,54972,22212,1083,12,837,13,8,45,944
9011.2,13222,20177,21059,16936,19739,23306,23622,27364,26746,14922,17785,1449,52688,20019,961,13,815,14,8,32,974
9024,11246,18578,19123,15150,18777,21834,21560,25714,24312,13285,16396,1136,50824,17622,861,12,633,13,10,37,951
9036.8,9647,16894,17135,13176,17435,19798,19428,23386,21669,11769,14689,843,48729,14883,687,12,648,13,15,42,909
9049.6,7926,14975,15262,11128,15599,17920,16981,21246,18678,9879,12900,617,46241,12134,573,4,671,19,11,39,953
9062.4,6520,13389,13633,9920,13798,15796,14815,18862,16032,8230,10960,438,44301,9408,517,11,665,9,10,31,908
9075.2,5552,11851,12365,8401,11758,13944,13038,16585,13974,6736,9331,304,42275,7753,409,7,641,17,4,36,943
9088,5117,11551,12116,8457,10254,12440,12768,14739,12428,6049,8255,274,40096,7147,348,4,653,9,11,31,961
9100.8,5815,12790,13118,10065,9322,12792,13659,13690,12639,5617,8411,302,37403,8576,317,5,637,8,15,26,942
9113.6,7224,13835,14239,12129,9587,13856,15181,13866,14626,6422,9157,384,35132,11371,409,5,599,8,11,28,928
9126.4,8846,14998,15505,13148,11179,15878,16965,15407,17301,7997,10093,494,34218,14368,635,6,456,11,9,29,902
9139.2,9909,15440,16170,12939,12881,16950,17361,16602,18547,9523,10716,517,32543,15587,664,5,460,6,6,32,841
9152,9816,15475,15920,12024,13912,17007,17411,17632,18456,10363,10829,472,31537,15437,643,12,442,12,5,29,850
9164.8,8972,15521,16211,11363,13621,16471,16924,17770,17728,10167,10432,358,31751,13620,550,10,390,5,5,33,878
9177.6,8411,15879,16700,11645,12562,16553,17348,17664,16795,9256,10163,290,30948,11748,474,5,380,11,9,29,834
9190.4,9112,16750,17670,12672,12235,17470,18393,17766,17689,8910,10538,202,30641,10536,514,8,368,16,8,35,773
9203.2,10243,18015,19341,13957,12380,19099,20150,18584,18953,9185,10776,180,30774,10861,714,10,325,12,7,37,858
9216,11695,19144,20439,15025,13527,21232,21667,20114,21611,10050,11412,194,31661,12367,887,9,355,5,8,36,878
9228.8,12392,19807,20498,14686,15024,22429,22249,21706,23150,11821,11883,175,32452,13938,994,9,316,7,9,23,814
9241.6,12242,19772,20814,14281,15882,22586,22144,22493,23368,12866,12176,142,33199,14110,905,9,280,6,6,28,833
9254.4,11969,19989,21262,14356,15744,22056,22086,23054,22958,12539,11921,148,34190,13665,781,3,252,4,7,36,858
9267.2,12224,20596,21786,15078,15187,22317,22900,23423,23327,12203,12258,120,35277,13091,621,14,206,8,10,29,840
9280,12754,21047,22318,15315,15185,23027,23782,23987,24641,11755,12639,83,35432,12738,677,7,239,4,8,28,770
9292.8,13213,21035,22564,15311,15859,23339,24014,24398,25651,12068,12835,92,35624,12186,908,6,223,6,6,27,760
9305.6,13749,20045,21546,14371,16163,23443,23793,25034,26265,12511,13254,88,35661,11845,1090,8,226,7,7,32,724
9318.4,13394,19530,20529,13544,15880,22537,23054,24956,25247,12665,13083,75,35944,11034,1037,18,177,7,10,30,817
9331.2,12317,18397,19528,12458,15483,21652,21629,24896,23969,12583,12972,62,35051,10268,870,6,220,15,7,29,745
9344,10916,16773,18043,11268,14418,19915,20593,23741,22452,12014,12111,38,35248,8982,675,7,217,4,9,26,747
9356.8,9647,15403,16726,10565,13279,19052,19395,22393,21055,10879,11302,46,34999,7746,501,7,199,11,10,17,721
9369.6,8582,14577,15441,9629,12647,18082,18281,21255,19597,9879,10876,36,33308,6687,369,5,200,7,8,29,788
9382.4,7765,13417,14082,9131,11913,17226,17225,20018,18466,8990,10457,34,32875,5780,325,14,182,10,14,19,811
9395.2,6893,12258,12850,8311,10928,16424,15988,18697,17364,8096,9527,22,31307,5004,230,8,150,14,9,19,804
9408,6075,11272,11843,7579,10082,15460,14790,17603,15719,7220,9075,23,29903,4335,214,9,142,8,8,32,771
9420.8,5571,10417,10813,7055,9474,14319,13594,16262,14546,6660,8203,26,29129,3971,189,6,134,8,9,20,747
9433.6,5105,9784,10151,6774,8500,13323,12953,14912,13744,6076,7628,24,27652,3503,192,8,123,6,16,22,769
9446.4,4900,9214,9871,6812,7972,12953,12797,14262,13427,5715,7252,19,26675,3191,140,7,144,5,6,22,724
9459.2,4645,8897,9399,6794,7589,13061,12365,13405,12984,5365,7168,17,25916,2890,150,4,146,7,5,22,727
9472,4343,8648,9020,6143,7684,12614,11984,13113,12536,4988,6694,12,25141,2672,132,7,131,7,9,31,708
9484.8,3969,8299,8645,5899,7408,12113,11361,12393,11821,4780,6389,11,24198,2481,115,8,167,10,9,23,722
9497.6,3596,7663,8043,5475,6972,11937,10725,12332,11609,4311,5941,20,23769,2351,96,8,124,8,8,30,744
9510.4,3150,6985,7341,4882,6717,11324,9865,11699,10571,3961,5490,17,22527,2068,79,10,106,6,10,36,768
9523.2,2718,6083,6470,3987,6127,10420,8990,10918,9586,3684,4641,14,21846,1772,68,7,101,10,6,28,744
9536,2253,5423,5660,3411,5427,9361,7837,9676,8425,3095,4176,4,20684,1463,49,7,85,7,13,24,733
9548.8,1690,4658,4908,2737,4741,8153,6632,8846,7119,2632,3441,6,19666,1225,42,10,86,8,9,20,710
9561.6,1371,3994,4156,2276,4071,7077,5936,7773,6084,2085,3051,9,18793,1002,29,3,74,7,13,21,707
9574.4,1217,3490,3780,1888,3275,6240,5124,6782,5237,1745,2502,7,18004,775,15,5,87,6,9,26,675
9587.2,1252,3546,3746,1968,2685,5478,4904,5966,4556,1528,2137,10,16760,631,18,1,77,8,6,22,691
9600,1579,3895,4193,2413,2325,5383,5341,5436,4655,1593,2077,6,15976,719,19,3,86,12,11,29,667
9612.8,2157,4506,5064,2929,2430,5858,6231,5534,5281,1843,2282,6,15017,937,23,5,79,7,10,25,643
9625.6,2615,5106,5614,3445,2815,6871,6914,6320,6250,2243,2677,5,14494,1135,31,4,57,6,11,21,725
9638.4,2698,5276,5752,3529,3240,7339,7259,6862,6948,2598,2944,11,14212,1220,35,3,62,6,11,21,654
9651.2,2421,5135,5509,3035,3773,7524,6988,7300,6980,2573,2983,6,13915,1188,39,2,32,7,13,25,660
9664,1982,4840,5375,2791,3760,7009,6783,7452,6417,2466,2783,6,14092,1042,35,4,49,13,9,31,649
9676.8,1749,4773,5188,2658,3429,6804,6808,7479,6038,2145,2659,6,14155,860,23,7,40,5,3,15,616
9689.6,1560,5063,5466,2847,3113,6965,7077,7426,6224,1984,2615,5,14159,857,16,12,35,6,7,26,658
9702.4,1645,5377,5830,3198,3063,7424,7805,7437,6704,1820,2664,5,14444,868,17,8,39,13,8,14,674
9715.2,1965,5628,6182,3375,3172,7985,8236,7972,7399,1842,2972,5,14743,911,19,5,41,10,14,23,691
9728,2082,5892,6354,3337,3625,8417,8627,8601,7888,2085,3188,10,15517,1020,19,6,34,7,8,17,630
9740.8,2001,5673,6289,3251,3744,8330,8796,9061,8098,2300,3122,11,15929,1040,19,8,19,6,11,19,650
9753.6,1925,5601,6249,2979,3727,8158,8816,9314,8088,2357,3132,18,16118,1072,18,5,15,8,10,16,627
9766.4,1696,5567,6118,2995,3602,7994,8602,9191,8155,2206,3051,10,16586,1027,14,7,19,9,11,21,625
9779.2,1639,5418,5959,2940,3546,7937,8973,9298,8311,2177,3142,12,16285,961,18,6,10,7,9,22,612
9792,1597,5511,5972,3036,3502,8291,9199,9616,8796,2130,3075,3,16153,906,21,8,13,10,12,21,625
9804.8,1468,5462,5861,2970,3535,8699,9287,9638,8672,2117,3191,20,16174,867,23,6,7,4,2,19,646
9817.6,1217,5108,5592,2725,3739,8653,9047,9665,8780,2096,3187,13,16105,805,16,5,7,5,11,17,602
9830.4,1120,4796,4999,2556,3674,8553,8478,9900,8328,1986,3091,8,15524,695,15,7,16,6,8,25,677
9843.2,930,4296,4641,2439,3452,8273,8271,9502,7858,1997,2927,12,15353,619,16,6,8,6,10,19,652
9856,805,3818,4204,2066,3172,7958,7822,8973,7548,1811,2718,15,14867,504,13,8,9,8,8,25,680
9868.8,706,3443,3683,1811,2845,7385,7463,8468,7380,1659,2486,11,14224,438,18,5,11,6,7,26,659
9881.6,695,3208,3277,1684,2580,7124,7198,7891,7100,1554,2205,14,13362,388,14,8,11,4,12,25,637
9894.4,613,2894,2971,1528,2388,6894,6849,7472,6976,1510,2064,6,12792,333,12,9,10,5,11,22,601
9907.2,590,2706,2747,1396,2209,6738,6623,7438,6581,1416,1866,11,11846,293,13,9,7,6,4,28,623
9920,529,2548,2596,1329,1958,6447,6224,7195,6124,1292,1719,6,11371,238,10,10,6,9,10,22,601
9932.8,564,2230,2467,1193,1849,6254,5990,6797,5883,1157,1439,16,10626,195,11,9,13,8,8,17,610
9945.6,486,2195,2306,1115,1714,6149,5736,6571,5742,1081,1366,10,10013,188,2,7,12,7,10,13,625
9958.4,501,1964,2174,1074,1606,5807,5636,6151,5652,1050,1207,5,9638,191,6,7,12,9,4,21,678
9971.2,465,1818,1953,1055,1552,6003,5344,5959,5319,997,1168,8,9351,157,6,4,10,7,6,26,649
9984,462,1638,1879,847,1383,5646,5086,5818,5094,913,1058,10,9206,157,7,11,13,3,7,12,627
9996.8,487,1453,1653,804,1337,5360,4779,5573,5025,835,977,12,8628,147,10,3,11,5,10,19,640
10009.6,455,1330,1508,679,1195,5193,4470,5251,4559,754,905,7,8133,110,9,6,5,7,6,15,656
10022.4,360,1109,1238,575,1128,4871,4017,4858,4196,720,765,12,7660,100,10,7,5,9,9,19,673
10035.2,312,932,1058,422,917,4351,3455,4385,3723,631,600,7,7281,92,7,8,1,12,7,17,640
10048,265,741,844,348,761,3784,3209,3937,3325,591,512,8,7001,69,8,8,12,5,11,23,588
10060.8,203,579,706,293,573,3388,2641,3480,2937,486,398,5,6487,49,11,4,4,7,5,24,639
10073.6,169,549,633,226,480,2910,2407,3156,2605,384,348,2,6142,49,3,5,7,9,11,15,669
10086.4,180,501,641,208,366,2556,2201,2773,2245,301,266,8,5679,29,7,4,12,7,8,21,635
10099.2,194,624,770,315,309,2497,2368,2506,2127,321,248,7,5562,30,7,1,11,7,9,14,664
10112,231,759,971,360,327,2717,2496,2493,2398,376,297,5,5068,46,,4,5,14,4,17,638
10124.8,341,885,1125,435,435,2987,2800,2680,2614,433,385,6,4969,60,2,4,7,12,7,27,659
10137.6,432,968,1114,459,529,3165,2848,2828,2781,532,405,2,4753,94,7,4,7,7,7,22,630
10150.4,400,911,1063,440,643,3181,2989,2997,2724,500,447,5,4815,78,7,7,9,9,5,22,618
10163.2,380,799,944,339,584,3073,2884,2983,2676,489,373,9,4876,93,2,5,9,8,3,19,652
10176,302,736,854,308,537,3084,2732,3114,2720,401,338,6,4735,67,5,,7,4,5,18,630
10188.8,236,655,768,242,418,3072,3086,3094,2716,352,307,7,4718,69,10,9,6,5,10,16,640
10201.6,256,658,766,270,368,3209,3172,3074,2975,281,288,8,4677,64,2,3,7,9,10,16,662
10214.4,277,717,835,285,344,3425,3336,3229,3204,299,319,4,4898,70,1,4,4,8,5,21,650
10227.2,292,769,887,329,372,3708,3480,3440,3428,368,321,10,4857,76,8,10,5,10,2,17,649
10240,357,741,873,322,445,3841,3677,3642,3597,398,353,8,4909,84,4,7,8,6,8,16,625
10252.8,374,702,888,326,492,3964,3723,3772,3663,407,338,8,4730,76,3,8,3,4,5,17,621
10265.6,305,704,792,287,462,4110,3737,3935,3689,385,348,10,4737,58,4,8,7,3,5,19,678
10278.4,249,679,780,252,454,4170,3918,3825,3852,378,307,7,4532,58,4,5,7,12,10,15,671
10291.2,227,692,786,277,362,4332,3966,3957,3993,364,323,3,4406,54,7,5,6,10,9,19,654
10304,202,652,722,269,364,4551,4063,4102,4256,301,313,13,4329,57,5,12,6,8,9,8,658
10316.8,228,648,652,272,389,4701,4252,4357,4335,267,322,11,4000,58,11,8,7,7,7,19,688
10329.6,205,562,643,241,359,4827,4238,4313,4515,297,305,10,3719,43,1,11,4,5,5,18,709
10342.4,189,548,591,228,366,5042,4293,4362,4565,241,319,12,3609,37,7,7,5,7,6,19,675
10355.2,156,480,609,204,345,5035,4199,4467,4662,232,249,9,3310,24,4,10,6,9,8,15,678
10368,125,448,533,174,319,5011,4172,4447,4551,193,241,13,3083,29,4,10,2,4,12,18,655
10380.8,108,424,477,154,299,5005,4111,4348,4677,171,216,6,2957,33,3,5,7,5,14,21,672
10393.6,121,379,459,183,263,5159,4022,4263,4661,148,218,13,2708,27,8,10,9,11,8,12,637
10406.4,85,323,394,146,264,4939,3847,4261,4674,141,160,11,2414,27,4,9,5,8,3,16,676
10419.2,81,267,344,132,213,4893,3831,4062,4692,152,146,11,2328,18,7,7,5,5,11,17,647
10432,69,284,330,120,217,4865,3675,3835,4564,134,134,9,2140,21,6,4,4,6,11,21,642
10444.8,70,236,261,118,196,4664,3483,3702,4396,106,126,8,2008,15,8,6,6,4,8,17,682
10457.6,71,201,238,110,172,4584,3377,3664,4343,116,135,12,1871,15,5,5,3,7,6,16,653
10470.4,66,180,230,104,159,4334,3302,3539,4295,108,92,9,1860,20,8,9,6,5,11,18,662
10483.2,60,118,204,100,116,4239,3231,3340,4076,99,73,4,1790,13,8,6,6,9,8,15,685
10496,59,145,184,93,125,4040,3044,3227,3974,91,79,6,1638,12,7,5,5,4,7,20,615
10508.8,56,122,165,74,103,3792,2829,3290,3841,110,77,6,1610,12,6,5,6,4,7,18,677
10521.6,62,103,133,57,87,3640,2679,3026,3607,78,83,10,1468,16,5,7,2,9,10,14,622
10534.4,49,74,131,48,99,3359,2435,2853,3502,72,56,7,1357,13,7,7,1,6,8,21,634
10547.2,35,80,84,38,73,3034,2136,2539,2992,86,54,5,1173,10,5,8,7,9,8,14,629
10560,42,73,85,25,54,2800,1814,2281,2689,49,55,9,1190,8,4,7,3,11,11,24,654
10572.8,28,52,71,26,56,2390,1702,2103,2511,52,29,5,1058,8,3,2,10,6,5,12,627
10585.6,28,50,63,33,34,2129,1616,1891,2225,56,31,4,1037,4,4,2,2,6,5,16,618
10598.4,20,59,90,50,36,1949,1475,1752,2059,49,41,4,866,7,6,6,5,7,6,22,609
10611.2,33,84,105,58,44,2103,1616,1745,2130,38,40,6,861,10,6,1,6,8,9,13,634
10624,31,87,95,46,45,2033,1651,1599,2216,61,62,6,784,10,6,6,6,8,9,15,601
10636.8,36,88,82,48,66,2245,1816,1695,2315,47,35,3,733,4,2,2,5,4,4,13,623
10649.6,40,78,103,37,59,2242,1835,1760,2340,57,42,3,790,11,2,3,6,5,9,17,650
10662.4,36,62,62,17,44,2376,1921,1893,2454,49,42,8,745,6,2,3,7,9,9,17,621
10675.2,33,51,75,24,39,2471,2136,1885,2495,45,36,2,729,7,5,3,4,4,12,19,644
10688,32,69,82,25,29,2695,2219,2088,2758,57,35,8,739,5,4,4,4,6,7,16,617
10700.8,35,56,77,27,25,3005,2412,2236,3016,69,35,7,722,9,,3,6,9,7,16,619
10713.6,46,75,93,40,23,3063,2521,2313,3137,63,24,8,706,5,3,3,6,6,11,16,590
10726.4,49,76,98,27,30,3137,2513,2533,3281,45,33,10,736,7,7,4,5,7,3,14,642
10739.2,47,66,96,37,40,3164,2772,2565,3346,47,47,10,730,9,2,6,4,9,5,11,605
10752,51,80,82,47,58,3419,2795,2711,3541,50,45,7,682,10,6,7,3,3,4,15,633
10764.8,45,79,91,26,43,3546,2950,2774,3847,55,54,14,713,13,6,9,7,2,9,10,600
10777.6,60,88,71,23,50,3790,3036,2797,3949,55,35,10,722,16,6,7,5,3,9,17,559
10790.4,42,58,78,19,43,3948,3247,3021,4004,74,36,7,701,9,3,3,6,4,4,15,596
10803.2,46,57,93,30,32,4090,3454,3135,4342,79,34,7,639,11,4,7,6,8,5,17,610
10816,43,70,74,20,40,4269,3588,3241,4662,65,31,12,669,6,6,8,5,3,11,12,633
10828.8,48,59,79,29,39,4308,3520,3373,4853,64,25,11,647,5,4,10,8,11,14,17,580
10841.6,44,51,77,19,35,4356,3500,3544,4852,74,32,8,584,12,3,4,6,2,,14,607
10854.4,50,51,65,27,39,4498,3500,3451,5021,58,25,7,579,8,9,8,7,6,9,15,618
10867.2,56,36,56,18,24,4507,3492,3475,5022,83,15,6,590,16,6,12,4,5,7,12,631
10880,60,27,51,16,30,4366,3451,3396,5009,72,12,6,539,15,6,11,10,6,9,15,654
10892.8,49,27,56,14,24,4273,3331,3458,5012,73,17,6,502,11,6,9,2,7,7,7,580
10905.6,42,27,46,8,21,4089,3163,3414,4735,70,20,9,505,11,8,10,8,3,5,11,622
10918.4,50,19,47,11,22,3903,3054,3359,4670,57,18,8,386,9,6,4,3,7,6,9,562
10931.2,38,22,45,14,8,3688,3025,3287,4450,71,16,8,370,15,4,7,3,6,5,10,607
10944,53,24,46,8,20,3582,2927,2980,4376,73,14,13,365,6,11,6,6,7,4,11,620
10956.8,50,23,48,7,15,3532,2849,2940,4255,72,11,10,333,12,1,5,6,4,10,13,640
10969.6,43,26,45,10,8,3380,2751,2848,4130,60,16,10,367,13,6,9,10,6,6,10,629
10982.4,38,14,36,14,12,3098,2637,2809,3968,59,15,9,285,9,8,7,7,12,5,9,633
10995.2,35,10,46,5,10,3039,2413,2847,3669,59,15,11,266,9,6,4,2,5,11,12,642
11008,33,11,48,10,9,2779,2265,2594,3480,57,24,4,236,7,5,5,1,4,11,22,646
11020.8,39,12,36,10,6,2758,2139,2476,3271,55,8,5,239,10,1,4,7,4,8,12,627
11033.6,32,12,28,9,10,2429,1873,2236,3048,57,9,5,215,9,6,6,9,8,8,14,596
11046.4,38,15,35,7,9,2279,1703,2135,2695,59,8,5,201,7,5,4,5,4,8,6,609
11059.2,28,7,33,7,4,1987,1501,1947,2506,41,8,4,170,10,7,7,9,4,11,12,591
11072,24,5,22,2,3,1758,1380,1696,2238,41,8,7,172,8,2,7,4,6,6,19,630
11084.8,32,14,22,5,4,1595,1331,1596,1960,38,6,5,154,6,1,2,4,8,4,15,595
11097.6,25,9,31,6,6,1433,1203,1394,1716,31,8,5,92,8,1,2,3,3,3,16,617
11110.4,23,10,30,10,2,1518,1316,1355,1769,27,8,8,110,10,2,6,3,5,8,13,651
11123.2,26,8,29,2,8,1570,1380,1402,1797,32,7,2,99,8,1,4,4,6,5,14,563
11136,22,11,25,5,7,1760,1462,1451,1898,29,3,9,119,7,3,4,7,7,4,9,592
11148.8,35,11,28,7,3,1770,1478,1448,1950,31,5,3,121,5,4,5,3,10,5,8,627
11161.6,23,7,24,5,4,1748,1497,1519,1959,30,12,6,90,6,2,4,4,7,5,13,597
11174.4,22,7,25,7,7,1888,1652,1475,2102,32,4,4,86,5,2,5,9,4,11,12,600
11187.2,30,11,33,2,5,1974,1706,1724,2416,36,6,7,88,5,3,3,3,7,8,14,586
11200,39,10,37,2,6,2134,1866,1735,2601,31,8,3,79,8,3,4,5,4,3,14,525
11212.8,36,15,20,11,6,2281,1972,1908,2802,52,5,5,88,5,9,8,2,6,4,8,557
11225.6,26,8,30,6,7,2265,1919,1977,2698,37,9,7,102,8,5,6,2,4,7,10,545
11238.4,29,12,32,6,6,2289,2172,2062,2778,50,3,8,97,7,9,4,7,3,7,7,554
11251.2,42,13,32,12,3,2488,2083,2130,2846,39,6,5,90,8,6,5,3,7,3,10,572
11264,37,15,29,4,9,2624,2286,2271,3126,41,9,10,96,11,4,6,9,6,7,7,581
11276.8,33,10,27,2,7,2684,2300,2326,3261,58,12,2,111,17,6,6,1,5,6,8,585
11289.6,35,7,30,9,12,2801,2468,2400,3424,45,11,7,93,7,2,12,7,2,7,11,531
11302.4,42,10,40,11,6,2866,2446,2492,3651,51,5,7,89,9,6,8,10,3,5,10,544
11315.2,38,15,33,6,6,2828,2478,2560,3736,56,9,8,114,6,3,10,4,5,3,15,542
11328,46,9,38,11,10,2842,2415,2627,3733,60,7,6,91,4,4,3,3,9,4,6,539
11340.8,41,9,43,7,12,2750,2397,2609,3903,54,9,10,96,10,7,3,2,6,5,6,584
11353.6,55,16,29,10,11,2783,2285,2561,3697,43,8,8,87,11,10,7,8,8,3,14,540
11366.4,40,10,38,9,12,2676,2279,2531,3686,54,9,1,76,7,8,11,5,11,2,10,528
11379.2,45,6,42,5,11,2530,2154,2452,3423,64,10,7,76,3,5,8,2,6,2,6,542
11392,42,13,26,9,11,2527,2007,2403,3324,83,8,5,72,12,6,2,4,9,6,13,520
